alpha
cash / invested_capital
liabilities / cash
cash / liabilities
liabilities_curr / cash
cash / liabilities_curr
operating_expense / cash
cash / operating_expense
operating_income / cash
cash / operating_income
ppent / cash
cash / ppent
pretax_income / cash
cash / pretax_income
rd_expense / cash
cash / rd_expense
receivable / cash
cash / receivable
retained_earnings / cash
cash / retained_earnings
return_assets / cash
cash / return_assets
return_equity / cash
cash / return_equity
revenue / cash
cash / revenue
sales / cash
cash / sales
sales_growth / cash
cash / sales_growth
sales_ps / cash
cash / sales_ps
SGA_expense / cash
cash / SGA_expense
working_capital / cash
cash / working_capital
cashflow_dividends / cashflow
cashflow / cashflow_dividends
cashflow_fin / cashflow
cashflow / cashflow_fin
cashflow_invst / cashflow
cashflow / cashflow_invst
cashflow_op / cashflow
cashflow / cashflow_op
cogs / cashflow
cashflow / cogs
current_ratio / cashflow
cashflow / current_ratio
debt / cashflow
cashflow / debt
debt_lt / cashflow
cashflow / debt_lt
debt_st / cashflow
cashflow / debt_st
depre_amort / cashflow
cashflow / depre_amort
EBIT / cashflow
cashflow / EBIT
EBITDA / cashflow
cashflow / EBITDA
employee / cashflow
cashflow / employee
enterprise_value / cashflow
cashflow / enterprise_value
eps / cashflow
cashflow / eps
equity / cashflow
cashflow / equity
goodwill / cashflow
cashflow / goodwill
income / cashflow
cashflow / income
income_beforeextra / cashflow
cashflow / income_beforeextra
income_tax / cashflow
cashflow / income_tax
interest_expense / cashflow
cashflow / interest_expense
inventory / cashflow
cashflow / inventory
inventory_turnover / cashflow
cashflow / inventory_turnover
invested_capital / cashflow
cashflow / invested_capital
liabilities / cashflow
cashflow / liabilities
liabilities_curr / cashflow
cashflow / liabilities_curr
operating_expense / cashflow
cashflow / operating_expense
operating_income / cashflow
cashflow / operating_income
ppent / cashflow
cashflow / ppent
pretax_income / cashflow
cashflow / pretax_income
rd_expense / cashflow
cashflow / rd_expense
receivable / cashflow
cashflow / receivable
retained_earnings / cashflow
cashflow / retained_earnings
return_assets / cashflow
cashflow / return_assets
return_equity / cashflow
cashflow / return_equity
revenue / cashflow
cashflow / revenue
sales / cashflow
cashflow / sales
